device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.03	-60.87	-20.31	910.49	11753.95	11787.06
head	-0.03	-60.82	-20.37	972.58	12205.63	12145.40
head	0.00	-60.88	-20.27	545.56	11907.29	11852.39
head	-0.05	-60.23	-20.33	268.08	8894.31	8892.39
head	-0.04	-60.98	-20.29	488.04	10465.38	10659.18
head	-0.12	-60.04	-20.56	1361.42	8625.09	9197.68
head	-0.04	-60.83	-20.30	999.46	12087.55	12472.20
head	-0.05	-61.12	-20.37	202.54	9357.81	9403.30
lh	30.15	34.23	-16.76	49.12	133.86	154.32
lh	28.68	32.65	-19.44	51.71	143.99	118.07
lh	28.40	34.72	-16.94	45.75	146.62	145.07
lh	25.71	33.53	-17.54	57.71	142.72	142.04
lh	31.03	32.86	-14.35	43.92	133.44	159.55
lh	25.42	35.02	-10.16	56.96	147.54	117.15
lh	28.80	33.58	-18.36	44.02	146.27	147.06
lh	24.91	33.94	-21.45	55.79	146.79	159.33
rh	-33.43	35.76	-10.93	46.47	118.18	166.06
rh	-32.32	36.49	-9.64	60.22	77.54	165.53
rh	-32.69	36.44	-9.52	56.64	107.83	168.85
rh	-30.68	36.01	-15.76	58.46	127.89	160.04
rh	-34.22	35.01	-20.07	41.57	131.28	171.39
rh	-31.23	39.98	-8.89	49.63	105.56	158.67
rh	-31.57	37.35	-13.82	50.92	126.98	158.00
rh	-29.66	37.05	-17.16	57.68	128.41	170.07
lf	8.47	89.00	-60.23	45.76	167.90	10.34
lf	3.70	67.31	-47.01	50.18	164.88	7.71
lf	9.41	89.09	-60.52	47.12	162.84	13.64
lf	9.54	96.84	-19.37	53.56	149.21	11.97
lf	5.46	88.96	13.67	50.50	149.24	9.37
lf	11.34	67.03	38.58	8.65	165.67	17.82
lf	6.90	89.25	17.41	45.58	154.36	8.46
lf	11.71	97.28	-17.76	50.94	151.25	7.34
rf	-8.81	88.12	17.23	48.58	137.13	19.69
rf	-13.70	65.97	32.86	4.76	154.50	7.98
rf	-9.97	88.10	16.02	49.94	142.77	20.32
rf	-15.34	95.85	-20.70	55.45	142.73	22.52
rf	-10.06	88.33	-57.46	52.32	160.07	17.95
rf	-5.42	67.10	-37.02	36.65	152.33	16.08
rf	-9.66	88.57	-56.82	46.00	159.28	16.42
rf	-15.41	96.25	-17.33	52.09	138.65	17.26
