device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.09	-60.87	-20.31	112.46	11472.12	11604.69
head	-0.06	-60.87	-20.28	105.75	12125.25	12258.27
head	-0.01	-60.93	-20.27	177.22	10549.88	10889.39
head	-0.06	-60.87	-20.28	105.75	12125.25	12258.27
lh	14.05	-106.76	-35.14	77.80	119.67	90.58
lh	22.12	32.79	-23.17	46.89	171.65	142.64
lh	17.38	-106.91	-24.16	77.47	6.03	24.04
lh	22.12	32.79	-23.17	46.89	171.65	142.64
rh	-29.35	-104.57	-34.12	76.86	132.63	80.33
rh	-26.73	36.57	-16.92	62.82	155.09	147.13
rh	-28.76	-103.53	-31.63	70.54	125.53	85.87
rh	-26.73	36.57	-16.92	62.82	155.09	147.13
lf	8.02	61.72	-34.74	30.84	164.11	1.51
lf	8.95	97.68	-16.79	54.22	158.75	7.78
lf	-3.73	98.08	-21.69	56.35	139.93	20.36
lf	8.95	97.68	-16.79	54.22	158.75	7.78
rf	-0.75	97.19	-21.14	63.38	145.03	18.93
rf	-13.67	97.05	-15.97	55.81	144.64	18.05
rf	-15.95	50.89	-48.59	58.47	140.73	21.08
rf	-13.67	97.05	-15.97	55.81	144.64	18.05
