device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.41	-59.13	-4.84	4.13	173.77	174.78
head	0.0	-60.5	-20.6	2185.5	12045.9	12236.8
head	0.0	-60.9	-20.2	105.9	12062.9	12263.0
lh	69.18	-6.13	31.66	16.87	40.15	67.26
lh	24.7	30.9	-49.0	19.8	161.5	141.2
lh	30.6	31.4	-20.5	46.2	146.0	137.7
rh	-71.25	-1.06	30.09	9.78	45.89	80.08
rh	-14.4	34.2	-45.1	33.3	170.7	124.0
rh	-25.2	33.0	-19.9	49.9	154.2	141.2
lf	14.60	98.50	-3.44	22.99	152.05	11.94
lf	21.9	95.2	-22.8	39.5	140.5	9.8
lf	16.5	93.7	-17.4	51.0	151.5	9.0
rf	-11.00	98.92	-1.94	25.13	137.40	22.28
rf	-13.3	97.5	-26.5	40.8	139.1	16.2
rf	-15.0	94.6	-19.9	53.6	150.8	19.8
