device	posX	posY	posZ	rotX	rotY	rotZ
head	0.1	-60.9	-20.3	155.8	11482.8	11923.2
head	14.66	-18.19	-49.20	18.55	46.25	58.80
head	-23.94	-13.32	-52.53	38.08	44.35	72.97
head	0.1	-60.1	-20.8	2769.0	10996.4	11358.4
head	0.1	-60.9	-20.3	155.8	11482.8	11923.2
lh	31.5	32.5	-23.0	46.4	145.2	154.8
lh	13.2	-42.6	-76.7	2.7	172.9	119
lh	25.2	-92.2	-30.2	3.1	10.4	26.0
lh	0.5	74.8	-44.0	28.5	167.6	105.2
lh	31.5	32.5	-23.0	46.4	145.2	154.8
rh	-24.6	34.3	-23.7	45.6	147.5	161.1
rh	-18.4	-40.4	-75	3.4	170.4	114.5
rh	-22.7	-89.2	-10.3	28.3	7.9	54.0
rh	4.3	-74.1	-5.3	6.7	61.8	93.3
rh	-24.6	34.3	-23.7	45.6	147.5	161.1
lf	14.8	98.7	-16.9	51.3	145.4	9.2
lf	16.2	93.7	-20.1	57.3	156.2	12.2
lf	32.3	98.2	-24.7	31.2	101.1	0.6
lf	20.7	103.9	-26.4	21.0	141.5	6.2
lf	14.8	98.7	-16.9	51.3	145.4	9.2
rf	-7.3	97.5	-17.8	52.6	148.5	18.2
rf	-18.8	97	-18.4	58.5	145.3	19.7
rf	-22.1	96.2	-30.5	32.5	113.7	2.1
rf	-15.3	102.9	-24.0	22.8	137.6	19.7
rf	-7.3	97.5	-17.8	52.6	148.5	18.2
