device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.04	-60.83	-20.19	249.19	12190.78	12439.07
head	0.31	-60.80	-20.24	1202.65	4789.76	12621.93
head	-0.43	-60.77	-20.01	1056.75	3450.93	12080.23
head	-0.09	-60.88	-20.24	514.38	11810.59	12045.29
head	-0.10	-60.87	-20.29	413.98	11721.47	12528.83
lh	4.43	-35.02	-78.55	2.20	174.62	107.41
lh	77.93	-30.06	-24.87	2.15	51.19	111.79
lh	-83.76	-25.36	-20.43	11.10	71.49	106.16
lh	0.66	-37.37	-81.75	7.73	168.06	109.61
lh	19.70	31.34	-23.93	46.76	162.29	155.29
rh	-11.77	-31.44	-77.87	7.93	170.98	100.98
rh	74.35	-26.67	-37.33	10.24	75.77	98.73
rh	-86.83	-22.29	-7.73	20.36	52.86	89.04
rh	-11.83	-36.26	-80.23	13.04	163.92	93.94
rh	-30.85	34.37	-18.70	51.80	146.14	163.45
lf	10.51	97.75	-21.45	58.56	154.10	8.95
lf	26.07	96.76	-17.70	46.11	100.27	18.08
lf	1.22	96.98	-12.05	46.84	116.73	1.57
lf	9.20	95.97	-20.90	53.10	152.89	9.24
lf	6.55	95.34	-19.41	52.05	150.78	8.03
rf	-18.09	96.89	-20.32	60.14	144.31	19.35
rf	-0.28	95.74	-19.72	49.85	117.58	16.07
rf	-25.27	96.50	-13.76	44.09	90.44	32.51
rf	-15.68	95.63	-21.16	54.52	143.87	21.40
rf	-16.53	95.19	-17.72	53.39	137.07	19.87
