device	posX	posY	posZ	rotX	rotY	rotZ
head	-4.77	-57.86	-20.19	10.40	172.00	179.06
head	-6.13	-22.16	-59.85	45.27	170.89	171.60
head	45.43	-21.46	-34.27	26.48	72.50	159.95
head	-48.94	-28.51	-29.63	24.98	84.54	156.01
head	-5.04	-25.53	-61.17	17.25	174.55	174.09
head	-5.46	-60.29	-18.49	2.61	169.43	179.42
lh	2.19	-22.49	-59.03	9.38	166.34	96.92
lh	1.66	14.89	-78.33	45.91	165.29	86.29
lh	71.11	8.80	-25.58	35.49	61.45	82.10
lh	-72.81	7.26	-44.87	29.89	108.00	86.08
lh	6.28	54.41	-55.43	20.15	174.26	129.82
lh	15.17	34.03	-24.65	41.80	149.85	175.57
rh	-11.09	-23.89	-57.33	4.63	165.13	96.82
rh	-11.88	17.48	-76.39	56.73	159.58	82.58
rh	66.93	10.84	-40.33	43.07	84.43	95.21
rh	-75.82	8.88	-30.42	35.64	78.83	82.58
rh	-18.72	54.38	-52.25	27.33	151.83	124.82
rh	-28.69	34.81	-22.13	45.50	170.56	176.47
lf	17.10	97.17	-24.13	53.16	153.44	13.48
lf	18.25	103.08	-23.68	5.91	153.39	4.65
lf	19.32	102.12	-25.27	14.74	127.19	9.29
lf	12.46	101.52	-25.65	22.19	152.39	10.94
lf	11.82	102.37	-31.50	29.30	158.21	8.92
lf	5.98	97.68	-20.76	50.50	151.99	10.67
rf	-24.29	95.41	-22.67	54.77	141.32	20.43
rf	-21.29	100.85	-19.31	7.20	147.80	6.26
rf	-18.83	99.77	-22.63	17.39	128.63	3.86
rf	-26.91	100.87	-22.44	21.72	128.81	5.71
rf	-26.52	101.59	-21.95	33.06	131.25	13.17
rf	-17.39	95.27	-16.38	53.39	134.91	14.61
