device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.05	-60.86	-20.28	771.82	12262.88	12717.16
head	-0.06	-60.88	-20.34	1476.94	11802.01	11959.75
head	-0.05	-60.86	-20.28	771.82	12262.88	12717.16
head	-0.05	-60.96	-20.31	408.02	11326.78	11623.61
lh	45.94	-64.33	-15.31	65.78	50.56	31.84
lh	38.72	-65.90	1.51	50.66	93.73	28.08
lh	45.94	-64.33	-15.31	65.78	50.56	31.84
lh	22.80	31.33	-24.00	38.45	174.78	163.23
rh	-44.35	-61.97	-22.22	69.05	68.10	50.93
rh	-48.72	-63.39	-1.74	40.81	123.14	22.24
rh	-44.35	-61.97	-22.22	69.05	68.10	50.93
rh	-27.77	33.72	-22.71	37.78	159.78	161.95
lf	10.21	96.43	-18.34	47.58	155.95	8.55
lf	13.41	97.59	-15.72	38.59	148.71	6.95
lf	10.21	96.43	-18.34	47.58	155.95	8.55
lf	7.33	95.76	-17.03	45.02	152.47	9.27
rf	-10.87	95.64	-18.67	49.49	146.25	26.01
rf	-12.60	96.95	-17.29	39.52	143.94	24.59
rf	-10.87	95.64	-18.67	49.49	146.25	26.01
rf	-9.42	94.94	-16.19	46.58	150.04	21.27
