device	posX	posY	posZ	rotX	rotY	rotZ
head	0.0	-60.9	-20.2	508.6	12652.3	12651.6
head	0.0	-60.9	-20.2	389.5	11940.4	11837.4
head	-0.1	-60.8	-20.2	691.2	12582.8	12648.3
head	-0.1	-60.8	-20.2	691.2	12582.8	12648.3
head	0.0	-60.8	-20.2	673.7	12586.2	12559.0
head	0.0	-60.8	-20.3	490.4	12491.0	12745.9
lh	16.9	-38.4	-78.5	7.6	172.8	111.2
lh	76.9	-78.5	6.5	4.6	53.8	71.8
lh	18.5	-31.4	-78.9	6.8	172.5	115.0
lh	83.0	-30.9	4.7	17.4	72.7	106.2
lh	15.3	-30.0	-79.6	10.3	175.7	113.1
lh	23.7	34.1	-19.8	53.0	159.6	129.7
rh	-19.6	-35.2	-77.5	8.7	173.8	104.3
rh	-78.7	-71.5	4.7	9.1	67.9	92.0
rh	-21.8	-28.6	-76.6	12.2	171.2	104.5
rh	-84.2	-30.6	14.5	22.3	74.7	102.8
rh	-20.9	-27.5	-76.9	12.0	173.7	102.0
rh	-28.8	34.5	-13.6	56.4	120.1	156.6
lf	9.3	94.2	-19.8	49.2	148.9	12.2
lf	13.0	95.5	-15.6	40.4	147.5	9.4
lf	11.2	94.5	-19.6	51.1	155.3	11.6
lf	13.0	98.5	-20.3	43.7	154.7	7.0
lf	15.4	96.0	-20.8	54.0	152.8	9.7
lf	13.2	97.2	-18.1	48.2	152.5	6.4
rf	-16.5	94.9	-20.3	51.8	149.6	17.6
rf	-15.2	97.6	-15.3	43.0	146.1	19.9
rf	-15.3	95.6	-21.5	54.0	151.9	17.1
rf	-17.2	94.5	-17.6	46.2	138.0	19.3
rf	-19.2	95.3	-22.8	55.2	139.9	20.6
rf	-9.92	94.52	-21.79	51.28	147.66	20.62
