device	posX	posY	posZ	rotX	rotY	rotZ
head	-0.06	-60.23	-20.86	3104.34	2463.56	2188.94
head	-0.04	-60.20	-20.65	2601.77	327.52	240.90
head	-0.06	-60.23	-20.86	3104.34	2463.56	2188.94
head	-0.03	-60.74	-20.25	313.68	14108.02	14118.68
head	-0.06	-60.23	-20.86	3104.34	2463.56	2188.94
head	-0.08	-60.22	-20.84	2517.57	390.52	558.49
head	-0.06	-60.23	-20.86	3104.34	2463.56	2188.94
head	-0.03	-60.74	-20.25	313.68	14108.02	14118.68
lh	2.72	66.09	-71.99	63.54	13.14	50.20
lh	10.55	62.35	-73.54	54.91	51.16	101.63
lh	2.72	66.09	-71.99	63.54	13.14	50.20
lh	25.20	33.06	-20.38	44.45	169.55	144.32
lh	2.72	66.09	-71.99	63.54	13.14	50.20
lh	1.41	65.75	-68.28	53.90	37.86	107.91
lh	2.72	66.09	-71.99	63.54	13.14	50.20
lh	25.20	33.06	-20.38	44.45	169.55	144.32
rh	-17.04	67.38	-65.58	61.52	17.85	112.59
rh	-20.10	62.64	-68.59	55.99	32.82	92.46
rh	-17.04	67.38	-65.58	61.52	17.85	112.59
rh	-27.08	37.13	-16.74	56.30	157.54	149.25
rh	-17.04	67.38	-65.58	61.52	17.85	112.59
rh	-15.90	65.49	-66.87	53.24	29.41	88.67
rh	-17.04	67.38	-65.58	61.52	17.85	112.59
rh	-27.08	37.13	-16.74	56.30	157.54	149.25
lf	21.83	63.27	77.83	29.28	25.82	140.92
lf	7.77	1.82	111.28	28.11	20.38	145.35
lf	21.83	63.27	77.83	29.28	25.82	140.92
lf	9.89	98.26	-14.85	51.58	155.69	6.67
lf	21.83	63.27	77.83	29.28	25.82	140.92
lf	-1.57	63.94	75.01	21.60	2.85	168.76
lf	21.83	63.27	77.83	29.28	25.82	140.92
lf	9.89	98.26	-14.85	51.58	155.69	6.67
rf	-0.66	62.81	79.38	31.26	11.77	132.61
rf	3.35	58.84	80.82	35.73	8.91	167.26
rf	-0.66	62.81	79.38	31.26	11.77	132.61
rf	-13.40	97.69	-15.69	54.21	150.03	17.94
rf	-0.66	62.81	79.38	31.26	11.77	132.61
rf	-23.44	13.87	101.63	65.21	8.63	146.17
rf	-0.66	62.81	79.38	31.26	11.77	132.61
rf	-13.40	97.69	-15.69	54.21	150.03	17.94
